common_name,lat,lon,country,mgmt_org,site_type,status,notes,_action
Kennedy Space Center LC-39A,28.608389,-80.604333,United States,National Aeronautics and Space Administration (NASA) / SpaceX,Orbital,Active,Historic Apollo and Shuttle pad now used by SpaceX Falcon 9/Heavy and Starship,UPDATE
Baikonur Cosmodrome,45.920000,63.342000,Kazakhstan,Roscosmos State Corporation for Space Activities (Roscosmos),Orbital,Inactive,Transitioning to Vostochny — crewed launches moved by 2025 — leased from Kazakhstan,UPDATE
Vandenberg SFB SLC-4E,34.632000,-120.611000,United States,SpaceX,Orbital,Active,West coast polar orbit launch pad — primary Falcon 9 polar and sun-synchronous site,UPDATE
Guiana Space Centre (Kourou),5.236000,-52.769000,French Guiana,European Space Agency (ESA) / ArianeGroup,Orbital,Active,Primary European Space Agency launch site near the equator — Ariane 6 and Vega-C,UPDATE
Jiuquan Satellite Launch Center,40.960000,100.291000,China,China Aerospace Science and Technology Corporation (CASC) / China National Space Administration (CNSA),Orbital,Active,China's first launch center — now also supports commercial operators,UPDATE
Satish Dhawan Space Centre,13.733000,80.235000,India,Indian Space Research Organisation (ISRO),Orbital,Active,Primary Indian space launch facility on Sriharikota island — PSLV and GSLV rockets,UPDATE
Tanegashima Space Center,30.400000,130.970000,Japan,Japan Aerospace Exploration Agency (JAXA),Orbital,Active,Japan's largest rocket launch complex — H-IIA and H3 rockets,UPDATE
SpaceX Starbase (Boca Chica),25.997000,-97.155000,United States,SpaceX,Orbital,Active,Starship fully operational — first commercial flights commenced — Super Heavy booster recovery,UPDATE
Plesetsk Cosmodrome,62.925000,40.577000,Russia,Russian Ministry of Defence (MoD) / Vozdushno-Kosmicheskiye Sily (VKS),Orbital,Active,Russia's primary military launch site — Angara-A5 now operational,UPDATE
Wenchang Space Launch Site,19.615000,110.951000,China,China Aerospace Science and Technology Corporation (CASC) / China National Space Administration (CNSA),Orbital,Active,China's newest and most modern launch center — Long March 5 and 7 rockets,UPDATE
Palmachim Airbase,31.894000,34.690000,Israel,Israel Aerospace Industries (IAI) / Israeli Ministry of Defense (IMoD),Orbital,Active,Israeli launch site launches westward over Mediterranean — Shavit rocket,UPDATE
Cape Canaveral SFS SLC-41,28.583000,-80.583000,United States,United Launch Alliance (ULA),Orbital,Active,Atlas V and Vulcan Centaur launch pad,UPDATE
Vostochny Cosmodrome,51.884000,128.333000,Russia,Roscosmos State Corporation for Space Activities (Roscosmos),Orbital,Active,Russia's new civilian spaceport replacing Baikonur for crewed missions — Soyuz and Angara,UPDATE
Naro Space Center,34.432000,127.535000,South Korea,Korea Aerospace Research Institute (KARI),Orbital,Active,South Korea's first orbital launch facility — KSLV-II Nuri rocket,UPDATE
Alcantara Launch Center,-2.370000,-44.396000,Brazil,Agência Espacial Brasileira (AEB),Orbital,Active,Near-equatorial Brazilian launch site — advantageous for geostationary transfer orbit missions,UPDATE
Esrange Space Center,67.893000,21.083000,Sweden,Swedish Space Corporation (SSC),Suborbital,Active,Europe's northernmost rocket range — sounding rockets and stratospheric balloons,UPDATE
Mohammed Bin Rashid Space Centre,25.117000,55.327000,United Arab Emirates,Mohammed Bin Rashid Space Centre (MBRSC),Orbital,Under Construction,UAE's planned orbital launch facility targeting first launch 2027,UPDATE
Vandenberg SFB SLC-6,34.580000,-120.626000,United States,United Launch Alliance (ULA),Orbital,Inactive,Former Titan IV and Space Shuttle pad — decommissioned and under evaluation,UPDATE
Broglio Space Center (San Marco),2.935000,40.214000,Kenya,Agenzia Spaziale Italiana (ASI),Orbital,Inactive,World's first equatorial offshore launch platform — decommissioned 1988 Italian-operated,UPDATE
Dombarovsky (Yasny),51.057000,59.852000,Russia,Russian Aerospace Forces (RuAF),Orbital,Active,Former ICBM base converted to commercial launch site — Dnepr and Rokot rockets,UPDATE
Kodiak Launch Complex,57.436000,-152.338000,United States,Alaska Aerospace Corporation (AAC),Orbital,Active,High-latitude US launch site supporting polar and sun-synchronous orbits,UPDATE
Uchinoura Space Center,31.251000,131.082000,Japan,Japan Aerospace Exploration Agency (JAXA),Orbital,Active,Japan's original orbital launch site — small scientific satellites and sounding rockets — Epsilon rocket,UPDATE
Wallops Flight Facility,37.940000,-75.466000,United States,National Aeronautics and Space Administration (NASA) / Virginia Space,Orbital,Active,NASA's primary facility for suborbital and small orbital launches — Antares and Minotaur rockets,INSERT
Xichang Satellite Launch Center,28.246000,102.026000,China,China Aerospace Science and Technology Corporation (CASC) / China National Space Administration (CNSA),Orbital,Active,China's primary site for geostationary launches — Long March 3 rocket family,INSERT
Taiyuan Satellite Launch Center,38.849000,111.608000,China,China Aerospace Science and Technology Corporation (CASC) / China National Space Administration (CNSA),Orbital,Active,China's principal launch site for polar and sun-synchronous orbit missions — Long March 4,INSERT
Kapustin Yar,48.570000,46.292000,Russia,Russian Ministry of Defence (MoD) / Russian Aerospace Forces (RuAF),Suborbital,Active,Russia's oldest launch site — established 1947 — primarily sounding rockets and military tests,INSERT
Andoya Space Center,69.294000,16.020000,Norway,Andoya Space (AS),Suborbital,Active,Norway's primary rocket range above the Arctic Circle — sounding rockets and aurora research,INSERT
Pacific Spaceport Complex (Kodiak),57.435000,-152.339000,United States,Alaska Aerospace Corporation (AAC),Orbital,Active,Commercial orbital launch site on Kodiak Island — supports multiple small launch vehicle operators,INSERT
Hainan Commercial Space Launch Site,19.500000,110.833000,China,China Satellite Network Group (CSNG),Orbital,Under Construction,China's newest commercial spaceport near Wenchang — targeting small to medium commercial launches,INSERT
